OBJECTID,F15Regions,DName2016,DNama2017,dc2017,DName2018,dc2018,DName2019,Ref_host,Shape_Leng,Shape_Area
1,SOUTH BUGANDA,MASAKA,MASAKA,105,MASAKA,105,MASAKA,no,245418.26877500000,2197374851.63000000000
2,BUKEDI,PALLISA,BUTEBO,233,BUTEBO,233,BUTEBO,no,102362.99876100000,237810757.09800000000
3,LANGO,ALEBTONG,ALEBTONG,323,ALEBTONG,323,ALEBTONG,no,318782.50908700000,1554604160.48000000000
4,TESO,BUKEDEA,BUKEDEA,219,BUKEDEA,219,BUKEDEA,no,166719.48633800000,1049670632.12000000000
5,BUKEDI,BUSIA,BUSIA,202,BUSIA,202,BUSIA,no,158986.90522600000,761916655.73200000000
6,KARAMOJA,MOROTO,MOROTO,308,MOROTO,308,MOROTO,no,338056.26864400000,3542469787.47000000000
7,TORO,KABAROLE,KABAROLE,405,KABAROLE,405,KABAROLE,no,294016.58425800000,1313422042.06000000000
8,BUNYORO,MASINDI,MASINDI,409,MASINDI,409,MASINDI,no,419207.01436600000,3921710837.24000000000
9,BUSOGA,KAMULI,KAMULI,205,KAMULI,205,KAMULI,no,199428.82646500000,1516142047.45000000000
10,BUKEDI,BUDAKA,BUDAKA,217,BUDAKA,217,BUDAKA,no,103889.78488000000,410843988.23800000000
11,WEST NILE,MARACHA,MARACHA,320,MARACHA,320,MARACHA,no,118142.89699100000,439344524.05400000000
12,BUKEDI,TORORO,TORORO,212,TORORO,212,TORORO,no,184933.15713800000,1191189964.74000000000
13,BUNYORO,KAGADI,KAGADI,427,KAGADI,427,KAGADI,no,232257.68697900000,1556015432.26000000000
14,SOUTH BUGANDA,KALANGALA,KALANGALA,101,KALANGALA,101,KALANGALA,no,387433.67211800000,9044690280.21000000000
15,NORTH BUGANDA,BUIKWE,BUIKWE,117,BUIKWE,117,BUIKWE,no,187331.06616800000,1452039001.85000000000
16,NORTH BUGANDA,LUWERO,LUWERO,104,LUWERO,104,LUWERO,no,283854.81771600000,2215976219.34000000000
17,LANGO,KOLE,KOLE,325,KOLE,325,KOLE,no,201868.24564900000,1070661549.72000000000
18,LANGO,AMOLATAR,AMOLATAR,315,AMOLATAR,315,AMOLATAR,no,209761.64316800000,1794532153.15000000000
19,ACHOLI,LAMWO,LAMWO,326,LAMWO,326,LAMWO,yes,376222.52362000000,5440371659.78000000000
20,ANKOLE,IBANDA,IBANDA,417,IBANDA,417,IBANDA,no,233663.65025000000,966708636.84500000000
21,SOUTH BUGANDA,WAKISO,WAKISO,113,WAKISO,113,WAKISO,no,347563.44866500000,2806894228.61000000000
22,KARAMOJA,KAABONG,KAABONG,318,KAABONG,318,KAABONG,no,483678.25007400000,4745731870.94000000000
23,TORO,KABAROLE,BUNYANGABU,430,BUNYANGABU,430,BUNYANGABU,no,149790.04473700000,499082646.33300000000
24,BUSOGA,IGANGA,IGANGA,203,IGANGA,203,IGANGA,no,127153.00933800000,638101342.43000000000
25,NORTH BUGANDA,NAKASONGOLA,NAKASONGOLA,109,NAKASONGOLA,109,NAKASONGOLA,no,314553.75003700000,3508634051.86000000000
26,TESO,KABERAMAIDO,KABERAMAIDO,213,KABERAMAIDO,213,KABERAMAIDO,no,148240.20101500000,886766610.47300000000
27,BUSOGA,NAMAYINGO,NAMAYINGO,230,NAMAYINGO,230,NAMAYINGO,no,396147.84747000000,4664934167.56000000000
28,KIGEZI,RUKUNGIRI,RUKUNGIRI,412,RUKUNGIRI,412,RUKUNGIRI,no,295395.90464800000,1532581631.49000000000
29,NORTH BUGANDA,MUBENDE,MUBENDE,107,MUBENDE,107,MUBENDE,no,297051.54005700000,2711441677.50000000000
30,NORTH BUGANDA,BUVUMA,BUVUMA,120,BUVUMA,120,BUVUMA,no,436417.13277500000,9612042354.03000000000
31,WEST NILE,NEBBI,PAKWACH,332,PAKWACH,332,PAKWACH,no,191553.36182800000,1038553742.59000000000
32,KIGEZI,RUBANDA,RUBANDA,429,RUBANDA,429,RUBANDA,no,159452.97627900000,691374378.24900000000
33,BUSOGA,LUUKA,LUUKA,229,LUUKA,229,LUUKA,no,163351.00288600000,649177868.40900000000
34,TESO,SOROTI,SOROTI,211,SOROTI,211,SOROTI,no,176849.30868600000,1415267087.33000000000
35,BUSOGA,KALIRO,KALIRO,222,KALIRO,222,KALIRO,no,134766.79059100000,869239418.25400000000
36,ACHOLI,OMORO,OMORO,331,OMORO,331,OMORO,no,253782.40035200000,1554827157.14000000000
37,KIGEZI,KABALE,RUKIGA,431,RUKIGA,431,RUKIGA,no,145530.55091200000,427885985.26600000000
38,ELGON,KWEEN,KWEEN,228,KWEEN,228,KWEEN,no,208115.25584200000,789549557.65500000000
39,ACHOLI,AMURU,AMURU,316,AMURU,316,AMURU,no,512179.74953400000,3588172547.62000000000
40,ACHOLI,KITGUM,KITGUM,305,KITGUM,305,KITGUM,no,415522.46192500000,4148521850.75000000000
41,TORO,KYEGEGWA,KYEGEGWA,422,KYEGEGWA,422,KYEGEGWA,yes,231107.59726400000,1747026055.91000000000
42,TESO,SERERE,SERERE,232,SERERE,232,SERERE,no,200439.01391200000,1959654670.27000000000
43,KIGEZI,KANUNGU,KANUNGU,414,KANUNGU,414,KANUNGU,no,308080.55393600000,1328601072.70000000000
44,WEST NILE,ZOMBO,ZOMBO,330,ZOMBO,330,ZOMBO,no,173677.19286400000,890962495.48400000000
45,ELGON,BUKWO,BUKWO,220,BUKWO,220,BUKWO,no,121751.06698400000,560131470.18600000000
