year,month,week,settlement,market,price_maize_g,price_maize_f,price_millet_f,price_beans,price_sorghum,price_oil,price_cassava,price_salt,price_dodo,price_fish,price_milk,price_soap,price_pads,price_r_pads,torch_price,pen_price,pencil_price,exercise_book_price,price_counter_book,weight_firewood,price_firewood,weight_charcoal,price_charcoal,dry_cells_price,big_jerrycan_price,small_jerrycan_price,basin_price,price_blanket,price_sauce_pan,plastic_plate_price,serving_spoon_price,plastic_mug_price,wooden_mingle_price,panga_price,hoe_price,price_nails,rope_price,pole_price,mud_brick_price,burnt_brick_price,grass_thatch_price
2020,3,Fourth Week,adjumani,Awindiri Market.,1500,1800,,,1500,6000,,750,,,,3500,3500,,1000,500,200,500,,1,296,1,775,1500,6000,1000,5000,,15000,1000,3000,1000,1000,7000,10000,6000,500,8000,,,
2020,3,Fourth Week,adjumani,Adjumani main market.,1500,2000,3300,3700,,6000,1200,800,5400,38000,2500,3500,3500,,1000,500,200,500,,1,296,1,775,1500,6000,1000,5000,,15000,1000,3000,1000,1000,7000,10000,6000,500,8000,,,
2020,3,Fourth Week,adjumani,Nyumanzi market.,1500,1900,3200,3600,1500,6000,1250,750,5790,34500,,3500,3500,,1000,500,200,500,,1,296,1,775,1500,6000,1000,5000,,15000,1000,3000,1000,1000,7000,10000,6000,500,8000,,,
2020,3,Fourth Week,rhino,Kubala,1667,2500,,5000,909,6250,,6000,,,2500,2000,3500,,1000,500,500,500,,12,2000,2,1000,2000,8000,3000,4500,,8000,1500,1500,1000,500,5000,10000,6000,1000,,75,,2000
2020,3,Fourth Week,rhino,Ocea,1250,2500,5000,,1000,6250,500,4000,2000,5000,2500,2000,3000,,1000,500,,,,13,2000,2,1000,2000,8000,3000,4500,,8000,1500,1500,1000,500,5000,10000,6000,1000,,75,,2000
2020,3,Fourth Week,rhino,Ofua 3,1250,2500,,2167,1250,6250,286,4000,,20000,2500,2000,3000,,1000,500,700,500,,13,2000,2,1000,2000,8000,3000,4500,,8000,1500,1500,1000,500,5000,10000,6000,1000,,75,,2000
2020,3,First Week,bidibidi,Lodenga,833,,3333,,909,5000,417,1400,3333,16667,1000,2000,3000,,1000,500,200,500,2500,3,2000,2,1000,1500,5000,1000,5000,,8000,1000,3000,1000,1000,6000,,8000,6000,5000,100,,3000
2020,3,First Week,bidibidi,Reception,714,,5000,,909,5000,400,1400,3333,16667,1000,2000,,,1000,500,200,500,,3,2000,2,1000,1500,5000,1000,5000,,8000,1000,3000,1000,1000,6000,,8000,6000,5000,100,,3000
2020,3,First Week,bidibidi,Koro,833,2857,5000,,909,5000,435,1400,2500,12500,1000,2000,,,1000,500,200,500,2500,3,2000,2,1000,1500,5000,1000,5000,,8000,1000,3000,1000,1000,6000,,8000,6000,5000,100,,3000
2020,3,First Week,bidibidi,Yumbe-main,833,3333,3333,3333,909,6000,,1400,3333,16667,1000,2000,3000,,1000,500,200,500,3000,3,2000,2,1000,1500,5000,1000,5000,,8000,1000,3000,1000,1000,6000,,8000,6000,5000,100,,3000
2020,3,Second Week,bidibidi,Lodenga,909,3333,5000,,1000,5000,400,1400,3333,,1000,2000,,,1000,500,200,500,,5,2000,2,1000,1500,5000,1000,5000,,8000,1000,3000,1000,1000,6000,,8000,6000,5000,100,,3000
2020,3,Second Week,bidibidi,Reception,1000,,3333,,909,5000,417,1400,2500,16667,1000,2000,3000,,1500,500,200,500,,4,2000,2,1000,1500,5000,1000,5000,,8000,1000,3000,1000,1000,6000,,8000,6000,5000,100,,3000
2020,3,Second Week,bidibidi,Koro ,1111,3333,3333,,909,5000,385,1400,2500,16667,1000,2000,3000,,1000,500,200,500,2000,4,2000,2,1000,1500,5000,1000,5000,,8000,1000,3000,1000,1000,6000,,8000,6000,5000,100,,3000
2020,3,Second Week,bidibidi,Yumbe-main,1111,3333,3333,3333,909,6000,435,1400,3333,16667,1000,2000,3000,,1500,500,200,500,2000,3,2000,1,1000,1500,5000,1000,5000,,8000,1000,3000,1000,1000,6000,,8000,6000,5000,100,,3000
2020,3,Third Week,bidibidi,Lodenga ,1111,3333,5000,,909,5000,435,1400,3333,16667,1000,2000,3000,,1000,500,200,500,,3,2000,1,1000,1500,5000,1000,5000,,8000,1000,3000,1000,1000,6000,,8000,6000,5000,100,,3000
2020,3,Third Week,bidibidi,Reception ,1053,3030,5000,,909,5000,417,1400,3333,16667,1000,2000,3000,,1000,500,200,500,2500,4,2000,1,1000,1500,5000,1000,5000,,8000,1000,3000,1000,1000,6000,,8000,6000,5000,100,,3000
2020,3,Third Week,bidibidi,Koro,1111,,5000,,833,5000,455,1400,3333,16667,1000,2000,3000,,1000,500,200,500,2500,3,2000,1,1000,1500,5000,1000,5000,,8000,1000,3000,1000,1000,6000,,8000,6000,5000,100,,3000
2020,3,Third Week,bidibidi,Yumbe-main ,1000,3333,3333,3333,909,6000,476,1400,3333,16667,1000,2000,3000,2000,1500,500,200,500,2500,4,2000,1,1000,1500,5000,1000,5000,,8000,1000,3000,1000,1000,6000,,8000,6000,5000,100,,3000
2020,3,Fourth Week,bidibidi,Lodenga,1111,3333,5000,,1000,6000,435,6000,3333,16667,1000,2000,3000,,1000,500,200,500,2500,3,1000,1,1000,1500,5000,1000,5000,,8000,1000,3000,1000,1000,6000,,8000,6000,5000,100,,3000
2020,3,Fourth Week,bidibidi,Reception,1124,3030,5000,,909,5000,417,5000,3333,12500,1000,2000,3000,,1000,500,200,500,,3,2000,1,1000,1500,5000,1000,5000,,8000,1000,3000,1000,1000,6000,,8000,6000,5000,100,,3000
2020,3,Fourth Week,bidibidi,Koro,1053,3333,3333,,1020,5000,400,6000,3333,16667,1000,2000,,,1000,500,200,500,2500,3,2000,1,1000,1500,5000,1000,5000,,8000,1000,3000,1000,1000,6000,,8000,6000,5000,100,,3000
2020,3,Fourth Week,bidibidi,Yumbe-main,1124,3030,3333,2857,1000,6000,476,5000,3333,12500,1000,2000,3000,2500,1000,500,200,500,2500,3,2000,1,1000,1500,5000,1000,5000,,8000,1000,3000,1000,1000,6000,,8000,6000,5000,100,,3000
2020,3,Second Week,imvepi,Point j market,1000,1500,3500,4000,1000,7874,1000,1200,,15000,2000,3000,3000,,1000,500,200,400,,1,300,1,250,2000,7000,2500,5000,,9000,1000,1500,660,800,8000,10000,6000,1500,5000,,,
2020,3,Third Week,imvepi,Point J,1000,1500,3450,4000,900,8000,900,1400,2000,13000,,3000,3000,,1000,500,200,400,,1,300,1,250,2000,7000,2500,5000,,9000,1000,1500,660,800,8000,10000,6000,1500,5000,,,
2020,3,Third Week,kiryandongo,Bweyale,909,1250,3333,3333,1000,6000,455,1400,2000,15000,1200,,,,,,,,,,,,,1500,6000,2000,4500,,8000,700,1000,600,1000,6000,8000,5000,500,5000,300,,3000
2020,3,Third Week,kiryandongo,Bweyale ,1100,1200,4000,3333,1200,6000,435,1400,3333,20000,1600,,,,,,,,,,,,,1500,6000,2000,4500,,8000,700,1000,600,1000,6000,8000,5000,500,5000,300,,3000
2020,3,Second Week,kiryandongo,Bweyale,1200,2500,4000,4000,1200,6000,385,1400,3333,20000,1600,4000,3500,4000,1500,500,150,500,3500,,,,,1500,6000,2000,4500,,8000,700,1000,600,1000,6000,8000,5000,500,5000,300,,3000
2020,3,Third Week,kiryandongo,Bweyale ,1200,2400,4000,4000,1000,6000,476,1400,3333,20000,1600,4000,3500,4000,1500,500,150,500,3500,6,2000,0,1000,1500,6000,2000,4500,,8000,700,1000,600,1000,6000,8000,5000,500,5000,300,,3000
2020,3,Fourth Week,kiryandongo,Bweyale ,1200,2600,4500,5000,1000,7000,333,4000,3333,20000,1600,4000,3500,4000,1500,500,150,500,4000,6,2000,0,1000,1500,6000,2000,4500,,8000,700,1000,600,1000,6000,8000,5000,500,5000,300,,3000
2019,3,First Week,lobule,Koboko main market,1000,3000,4000,3500,2000,5000,667,1400,833,25000,2000,2000,3000,,1000,500,200,500,5000,6,1000,1,500,1500,8000,3000,4000,,8000,1000,1500,500,1000,7000,9000,6000,500,8000,,,
