"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","repeat.var","repeat.var.value"
"9.1","mobile_accepted","regions","no","south west",0.318681318681319,NA,NA
"9.2","mobile_accepted","regions","yes","south west",0.681318681318681,NA,NA
"9.3","mobile_accepted","regions","no","west nile",0.553990610328638,NA,NA
"9.4","mobile_accepted","regions","yes","west nile",0.446009389671362,NA,NA
"10.1","What types of payment methods do you accept from your customers?","regions","Cash (UGX)","south west",1,NA,NA
"10.2","What types of payment methods do you accept from your customers?","regions","Cash (UGX)","west nile",0.995305164319249,NA,NA
"10.3","What types of payment methods do you accept from your customers?","regions","Cash (foreign currency)","south west",0.010989010989011,NA,NA
"10.4","What types of payment methods do you accept from your customers?","regions","Cash (foreign currency)","west nile",0.00938967136150235,NA,NA
"10.5","What types of payment methods do you accept from your customers?","regions","Mobile money","south west",0.681318681318681,NA,NA
"10.6","What types of payment methods do you accept from your customers?","regions","Mobile money","west nile",0.446009389671362,NA,NA
"10.7","What types of payment methods do you accept from your customers?","regions","Credit/debit cards","south west",0.032967032967033,NA,NA
"10.8","What types of payment methods do you accept from your customers?","regions","Credit/debit cards","west nile",0,NA,NA
"10.9","What types of payment methods do you accept from your customers?","regions","Informal credit (i.e. a promise to pay later)","south west",0.32967032967033,NA,NA
"10.10","What types of payment methods do you accept from your customers?","regions","Informal credit (i.e. a promise to pay later)","west nile",0.112676056338028,NA,NA
"10.11","What types of payment methods do you accept from your customers?","regions","Voucher","south west",0,NA,NA
"10.12","What types of payment methods do you accept from your customers?","regions","Voucher","west nile",0.164319248826291,NA,NA
"10.13","What types of payment methods do you accept from your customers?","regions","Other","south west",0,NA,NA
"10.14","What types of payment methods do you accept from your customers?","regions","Other","west nile",0,NA,NA
"11.1","Could you please estimate how many vendors, <span style=""color:blue""> selling similar items as you do or have a similar business as yours </span>, are operating in this marketplace/area of operation?","regions","0 to 10","south west",0.293333333333333,NA,NA
"11.2","Could you please estimate how many vendors, <span style=""color:blue""> selling similar items as you do or have a similar business as yours </span>, are operating in this marketplace/area of operation?","regions","11 to 20","south west",0.44,NA,NA
